Handle,Profile Link,Reason Excluded
@tradewithprof,https://x.com/tradewithprof,10.8K followers but median 2 likes / 611 views (0.02%); mostly product build-log for miiflo/signalp - fails engagement screen
@Qullamaggie,https://x.com/Qullamaggie,"182.9K followers, huge engagement (median 570 likes) but no posts since Jun 10, 2026 - fails 'active' criterion. Keep on a reserve list if Sam wants dormant big names."
@UmarAshraf,https://x.com/UmarAshraf,"209.7K followers, median 636 likes, but no posts since Jul 1, 2026 (dormant 2 months) and he is the founder of TradeZella (a trading-tool company). Reserve list only."
@Jackaroo_Trades,https://x.com/Jackaroo_Trades,100.8K followers but no posts since Jul 21 (6+ weeks) and recent content is small-cap ticker call-outs ($VIVK $SPCX) - fails both the active and the no-stock-tips screens.
@SJosephBurns,https://x.com/SJosephBurns,1M followers but median post gets 5 likes / 306 views (0.0005%) - posts dozens of quote-style tweets and replies per day; top posts reach only ~150 likes. Textbook inflated-follower account; fails the engagement screen.
@OptionsMike,https://x.com/OptionsMike,113.5K followers but median 8.5 likes / 3.9K views (0.008%); content is morning analyst-rating recaps - fails engagement screen
@johnscharts,https://x.com/johnscharts,"332.6K followers but median 3 likes / 4.5K views; feed is option-alert brags ('$ORCL 155c moved 171%') for a paid Whop group - pump/alert style, fails both screens"
@SperoTrades,https://x.com/SperoTrades,"SMB Capital trader, 6.3K followers, but last post Mar 2024 - dormant"
@AxiaFutures,https://x.com/AxiaFutures,"Company account (Axia Futures training/prop desk), 11.7K, 0.09% - not an individual creator; co-founder checked instead"
@AH_AxiaFutures,https://x.com/AH_AxiaFutures,Axia co-founder Alex Haywood - strong engagement (median 121 likes on 9.7K) but last post Jul 13 - not active
@kroyrunner89,https://x.com/kroyrunner89,"Tim Grittani, 124K, but last post Apr 8, 2026 - not active"
@TheShortSniper,https://x.com/TheShortSniper,"26K day trader, but last post Jul 7 - not active"
@MasiTrades,https://x.com/MasiTrades,"45.5K options trader with good historical engagement, but last post Aug 10 and only ~20 posts in 9 months - too sparse; reserve"
@TradingWarz,https://x.com/TradingWarz,"183K but median 13 likes; feed is hype ('AMD IS A MONEY PRINTER', 'I AM IN TEARS', 'stop GAMBLING I will teach you') plus subscriber-locked posts - pump/hype style, fails the content screen"
@turintrader,https://x.com/turintrader,"13.5K with viral engagement (median 204 likes, 37K views) but an Aug 21 post opens with an antisemitic trope - brand-safety exclusion, do not contact"
@TRADE_YOUR_PLAN,https://x.com/TRADE_YOUR_PLAN,"3.9K followers, median 5 likes, posts sparse (last Aug 20) - below micro threshold"
@NOBStrades,https://x.com/NOBStrades,"13K, median 7 likes, last post Jul 31 - low engagement and not active"
@IGOSODAMNHAM,https://x.com/IGOSODAMNHAM,"11.4K, last post Jan 29, 2026 - not active"
@TicTocTick,https://x.com/TicTocTick,"260K 'emini tic' but the current feed is political news commentary, not trading - off-niche / brand-safety"
@FuturesInsight,https://x.com/FuturesInsight,"Profile is literally named 'Marketing Account' selling ES/NQ alerts - alert-service, not a creator"
@scottmanzo,https://x.com/scottmanzo,"2.3K, last post Feb 2025 - dormant"
@GaaOptions,https://x.com/GaaOptions,"34K with real engagement (0.15%) but the feed is SPY 'lottos', VIP alert entries and a $500-to-$70K challenge - alert-seller / gambling framing, fails the no-tips screen"
@rachels_44,https://x.com/rachels_44,63K but median 7.5 likes (0.01%); ticker one-liners funnelling to a Whop Discord - fails engagement screen
@eschunk8,https://x.com/eschunk8,12.6K day/system trader with strong engagement (median 55) but last post Aug 2 - 5 weeks quiet; reserve
@zander_odom,https://x.com/zander_odom,"5K equities trader, last post Aug 13 and only ~1 post/week - too sparse; reserve"
