Handle,Profile Link,Followers,Engagement Rate (median likes+replies+reposts / followers),Views-to-Followers (median views / followers),Median Likes,Median Replies,Median Reposts,Median Views,Posts Measured,Date Range Measured,Tier,Niche,Bio Contact,Hook Link,Hook Note,Why This Account Fits,Batch
@TheOneLanceB,https://x.com/TheOneLanceB,"147,500",0.20%,16.9%,259,20,10,"24,861",17,2026-08-25 to 2026-09-04,Macro (100K+),Prop trading / prop firm education,DM open; linktr.ee/theonelanceb (YouTube linked),https://x.com/TheOneLanceB/status/2095536877361365042,"Sep 3 post 'The faster you adapt, the better you perform' - a trader he works with used Claude to analyze his own trade data (354 likes) - natural bridge to an AI-powered platform","Ex-Trillium top prop trader and SMB Capital advisor; posts daily educational threads on prop trading - macro reach (147K) with micro-level engagement (0.20%), rare combination.",M1 (approved Sep 5)
@OddStats,https://x.com/OddStats,"94,000",0.11%,11.9%,94,7,4,"11,167",20,2026-08-31 to 2026-09-04,Mid (25-100K),0DTE options / SPX (statistics & commentary),DM open; oddstats.substack.com,https://x.com/OddStats/status/2095964017579675775,Sep 4 stat: SPX heading into Labor Day weekend up 12.5%+ YTD for only the 24th time in history (84 likes),"Retired finance professional posting daily SPX probability stats, including explicit 0DTE-era analysis; commentary account (no trade alerts; Substack in bio) with a highly engaged audience of index-options traders.",M1 (approved Sep 5)
@traderstewie,https://x.com/traderstewie,"462,800",0.03%,7.4%,121,10,4,"34,244",17,2026-08-25 to 2026-09-04,Macro (100K+),Day trading / swing trading stocks,DM open; ArtOfTrading.net,https://x.com/traderstewie/status/2094822672777801772,"Sep 1 $AEHR post - 'oversold becomes more oversold, the rubber band keeps stretching' (411 likes)","Runs the Art of Trading paid community since 2009, posts trade setups daily to 462K followers — your macro/awareness tier with a proven monetized audience.",M1 (approved Sep 5)
@FuturesTrader71,https://x.com/FuturesTrader71,"60,300",0.02%,4.8%,8,2,2,"2,898",17,2026-03-24 to 2026-08-14,Mid (25-100K),Futures trading education,DM open; edgeclear.com + convergenttrading.com in bio,https://x.com/FuturesTrader71/status/2087948043412816231,Aug 13 post celebrating single-stock futures going live for trading at his firm EdgeClear ('Let's goooooo!'),"EdgeClear founder and veteran futures educator; big credible reach — awareness tier (note: posting cadence slowed since mid-Aug, last post Aug 14).",M1 (approved Sep 5)
@NoBSDayTrading,https://x.com/NoBSDayTrading,"5,859",0.29%,21.0%,16,1,0,"1,231",20,2025-11-19 to 2026-08-17,Micro (<25K),Day trading (order flow) education,DM open; nobsdaytrading.com,https://x.com/NoBSDayTrading/status/2086786224589549619,Aug 10 announcement of his two-week order-flow webinar running Aug 31 - Sep 14 (live right now) - plus Aug 17 post on why 'X dollars per day' day-trading goals fail,"John Grady, respected order-flow educator; small but high-trust audience — 21% of followers see each post, top engagement rate of the five (posts less frequently, last Aug 17).",M1 (approved Sep 5)
@_amtrades,https://x.com/_amtrades,"113,800",0.77%,28.8%,761.5,27.5,87.5,"32,763",20,2025-10-28 to 2026-09-03,Macro (100K+),Day trading (index futures / price-action model) education,DM open; amtrades.com/links,https://x.com/_amtrades/status/2095530311488581769,"Sep 3 post 'when you stop trying to predict the market, execution becomes simple - previous day manipulation...' (633 likes)","AM (amtrades) - price-action educator whose every post lands 300-1,000 likes (0.77%, 29% reach on 114K) - the highest-engagement macro account in the list. Posts only ~2x/month, so plan outreach around his cadence.",M2 batch 2
@ProbableChris,https://x.com/ProbableChris,"7,682",0.72%,58.7%,47.5,7,1,"4,511",16,2026-07-30 to 2026-09-02,Micro (<25K),Futures day trading (NQ) - statistical / price-distribution models,DM open; nqstats.com (via @NQStats),https://x.com/ProbableChris/status/2092982643755286535,"Aug 27 note that NQ is in a very compressed-volatility ranging regime, not a slow grind trend (92 likes)","Chris (ProbableChris / NQStats) - NQ trader publishing statistical price-distribution frameworks and trade reviews; 59% of followers see each post, 0.72% engagement - top micro-tier futures quant.",M2 batch 2
@realFatCat1,https://x.com/realFatCat1,"3,142",0.70%,39.4%,21,1,0,"1,238",20,2026-04-21 to 2026-09-03,Micro (<25K),Futures / order flow (ES),DM open; youtube.com/@FatCatsOfWallSt,https://x.com/realFatCat1/status/2095567850060599360,Sep 3 post on a choppy ES session where cross-product order flow broke down (43 likes),Order-flow ES trader with YouTube channel and coaching students; small but highly engaged audience (0.70%) - exact SabrTrader user profile.,M2 batch 1
@XennialTrader,https://x.com/XennialTrader,"2,961",0.44%,31.8%,12,1,0,942,17,2026-09-01 to 2026-09-04,Micro (<25K),"Futures day trading (ES/NQ) - market profile, ex-exchange engineer",DM open; no link in bio,https://x.com/XennialTrader/status/2095972586773741760,Sep 4 before/after NFP profile charts showing the ES_F short opportunity (31 likes),Josh (XennialTrader) - ex-CME/ICE engineer and former Series 56 prop trader posting ES/NQ profile analysis daily; tiny 3K following but 32% reach (0.44%) - exact power-user persona for an order-flow platform.,M2 batch 2
@Hydra_Thahmid,https://x.com/Hydra_Thahmid,"120,300",0.40%,18.9%,436,38,9,"22,712",17,2026-08-11 to 2026-09-04,Macro (100K+),Futures day trading (NQ) - daily live-stream trader,DM open; whop.com/everyday-live (Everyday Live),https://x.com/Hydra_Thahmid/status/2094800532766642639,"Sep 1 'Opened September LIVE on stream with this setup, $4.3k booked' (636 likes); he calls the 10:20-10:40 window his favorite reversal macro","HYDRA - NQ trader who has live-streamed every session for 3 years (Whop community); 0.40% engagement, 19% reach on 120K. Caveat: P&L-flex style posts, but a daily live stream is a direct platform-showcase channel.",M2 batch 2
